"CreateDate","AllOrFr3to4","Tickers","1D","1W","2W","1M","2M","3M","6M","1Y","10Y","Net"
202505708,"all",,"dDateCurr1D_2025-07-08","dDateCurr1W_2025-07-14","dDateCurr2W_2025-07-21","dDateCurr1M_2025-08-06","dDateCurr2M_2025-09-05","dDateCurr3M_2025-10-05","dDateCurr6M_2026-01-03","dDateCurr1Y_2026-07-07","dDateCurr10Y_2035-07-05","dDateCurr10Y_2035-07-05"
202505708,,"CRWV","NA","-1283011","305013850","NA","8032290","-13618750","5341525","-10260800","27730000","320955104"
202505708,,"SPXW","1091125","526005","23601128","NA","-11650","NA","NA","NA","NA","25206608"
202505708,,"RIVN","NA","-31936","-22181","22940","21300","NA","NA","4472600","NA","4462723"
202505708,,"SMH","NA","-512650","NA","NA","237000","NA","3492000","NA","NA","3216350"
202505708,,"QBTS","NA","-59560","16429","11035","NA","NA","NA","3005000","NA","2972904"
202505708,,"IWM","-344053","179967","-1018738","444447","3736029","-243036","NA","-52800","NA","2701816"
202505708,,"COIN","NA","2239636","271954","133001","NA","NA","NA","NA","NA","2644591"
202505708,,"AFRM","NA","257519","NA","NA","1805640","NA","NA","NA","NA","2063159"
202505708,,"RBLX","NA","194510","230058","11600","NA","1483530","NA","NA","NA","1919698"
202505708,,"RGTI","NA","73405","NA","-13366","NA","142796","1611945","-66300","NA","1748480"
202505708,,"CRCL","NA","-647088","1073909","-330600","1545290","NA","NA","NA","NA","1641511"
202505708,,"UPS","NA","NA","1213750","11742","NA","NA","NA","NA","NA","1225492"
202505708,,"NET","NA","NA","NA","NA","NA","NA","NA","NA","1187100","1187100"
202505708,,"CBOE","NA","NA","NA","NA","NA","NA","NA","1151010","NA","1151010"
202505708,,"UBER","NA","1021526","13810","76894","92250","NA","NA","-97302","NA","1107178"
202505708,,"NVDL","NA","-172119","NA","1396391","37000","NA","-165760","NA","NA","1095512"
202505708,,"VRT","NA","NA","187256","NA","840650","NA","NA","NA","NA","1027906"
202505708,,"TSM","NA","13187","221161","NA","2565620","NA","NA","NA","-1828750","971218"
202505708,,"IBIT","NA","-100288","-61000","261763","NA","-133999","-147000","-500000","1517498","836974"
202505708,,"RKLB","NA","-29485","1032270","166748","-96276","NA","-294990","NA","NA","778267"
202505708,,"BAC","NA","10800","-43640","NA","NA","71170","-652156","1314350","NA","700524"
202505708,,"CNC","NA","NA","NA","NA","-54134","NA","-38700","-1227050","740240","-579644"
202505708,,"AAPL","NA","-1772970","1747466","-78625","-1441970","764250","NA","NA","NA","-781849"
202505708,,"EFA","NA","15766","NA","NA","-26631","NA","-1015400","NA","NA","-1026265"
202505708,,"MRK","NA","NA","-16780","23533","NA","NA","-35400","NA","-1146150","-1174797"
202505708,,"DELL","NA","NA","NA","NA","NA","NA","NA","-1630000","NA","-1630000"
202505708,,"MSFT","NA","20514","NA","NA","-1860765","NA","NA","NA","157000","-1683251"
202505708,,"CLX","NA","NA","-1548000","NA","-179976","NA","NA","NA","NA","-1727976"
202505708,,"QQQ","-1764152","-2724995","103108","488708","3257279","-539002","-2073897","1183302","NA","-2069649"
202505708,,"DJT","NA","-16879","1522","81425","NA","NA","-2149570","NA","NA","-2083502"
202505708,,"GOOG","NA","-207801","258000","NA","-162000","NA","NA","NA","-2068200","-2180001"
202505708,,"OSCR","NA","24810","NA","NA","-306106","NA","81940","-2308000","NA","-2507356"
202505708,,"SYM","NA","26410","NA","NA","-2646000","NA","NA","NA","NA","-2619590"
202505708,,"HOOD","NA","-961273","-2026682","-391527","-46805","NA","288645","NA","NA","-3137642"
202505708,,"LOW","NA","NA","-3183080","NA","NA","NA","NA","NA","NA","-3183080"
202505708,,"TLT","NA","-12787","-85500","182475","-3947195","NA","NA","NA","NA","-3863007"
202505708,,"ADBE","NA","15500","539000","NA","-5383125","NA","NA","NA","NA","-4828625"
202505708,,"IBM","NA","NA","NA","115465","NA","-5760000","NA","NA","NA","-5644535"
202505708,,"AMZN","NA","-176226","-263395","-7201915","-320978","NA","NA","-292500","NA","-8255014"
202505708,,"TSLA","NA","-494580","-517215","3193746","-950260","-1683710","643820","-1061645","-8304000","-9173844"
202505708,,"CRWD","NA","-295195","NA","NA","NA","-9300000","NA","NA","NA","-9595195"
